note_str,pitch
guitar_acoustic_001-082-050,82
guitar_electronic_035-062-127,62
guitar_electronic_004-061-050,61
guitar_synthetic_000-071-127,71
guitar_electronic_009-059-100,59
guitar_acoustic_005-047-025,47
guitar_electronic_012-082-075,82
guitar_electronic_019-044-050,44
guitar_electronic_045-059-127,59
guitar_electronic_045-072-075,72
guitar_electronic_021-088-100,88
guitar_electronic_000-064-050,64
guitar_acoustic_017-075-127,75
guitar_electronic_016-077-050,77
guitar_electronic_008-055-050,55
guitar_acoustic_007-050-075,50
guitar_electronic_003-044-050,44
guitar_acoustic_028-074-127,74
guitar_acoustic_001-042-127,42
guitar_electronic_034-052-025,52
guitar_synthetic_012-046-127,46
guitar_electronic_007-079-127,79
guitar_electronic_016-074-050,74
guitar_electronic_039-052-025,52
guitar_acoustic_000-074-100,74
guitar_synthetic_001-077-100,77
guitar_acoustic_007-056-050,56
guitar_acoustic_003-056-075,56
guitar_electronic_008-058-050,58
guitar_acoustic_003-087-075,87
guitar_electronic_024-048-127,48
guitar_synthetic_005-066-075,66
guitar_electronic_038-044-050,44
guitar_electronic_018-068-100,68
guitar_electronic_023-071-127,71
guitar_acoustic_033-047-025,47
guitar_acoustic_009-045-025,45
guitar_acoustic_026-078-075,78
guitar_acoustic_029-055-127,55
guitar_acoustic_016-076-127,76
guitar_electronic_040-043-100,43
guitar_acoustic_025-072-025,72
guitar_electronic_030-047-025,47
guitar_electronic_023-081-050,81
guitar_electronic_005-043-050,43
guitar_acoustic_017-049-050,49
guitar_electronic_017-082-075,82
guitar_electronic_004-059-025,59
guitar_electronic_042-061-127,61
guitar_acoustic_033-081-127,81
guitar_acoustic_004-082-075,82
guitar_electronic_012-056-075,56
guitar_electronic_041-076-050,76
guitar_electronic_042-058-050,58
guitar_electronic_010-069-025,69
guitar_electronic_036-052-075,52
guitar_acoustic_008-063-075,63
guitar_electronic_021-066-100,66
guitar_electronic_012-042-075,42
guitar_electronic_009-064-127,64
guitar_electronic_037-057-050,57
guitar_electronic_014-058-127,58
guitar_electronic_004-046-100,46
guitar_electronic_023-060-025,60
guitar_acoustic_018-044-050,44
guitar_electronic_033-061-050,61
guitar_acoustic_006-051-025,51
guitar_acoustic_005-084-100,84
guitar_acoustic_035-060-025,60
guitar_electronic_000-052-050,52
guitar_electronic_040-056-075,56
guitar_electronic_003-047-025,47
guitar_electronic_029-065-100,65
guitar_synthetic_000-040-050,40
guitar_synthetic_007-077-127,77
guitar_acoustic_017-050-075,50
guitar_synthetic_003-054-025,54
guitar_electronic_013-044-050,44
guitar_acoustic_035-051-050,51
guitar_electronic_010-087-075,87
guitar_synthetic_005-073-100,73
guitar_acoustic_005-070-100,70
guitar_electronic_044-051-050,51
guitar_electronic_016-051-075,51
guitar_electronic_009-073-127,73
guitar_electronic_044-079-127,79
guitar_synthetic_003-082-075,82
guitar_electronic_042-068-075,68
guitar_electronic_018-043-127,43
guitar_synthetic_003-049-100,49
guitar_electronic_030-079-050,79
guitar_acoustic_006-057-127,57
guitar_electronic_042-081-127,81
guitar_electronic_010-069-127,69
guitar_electronic_006-065-075,65
guitar_electronic_021-070-050,70
guitar_electronic_005-052-050,52
guitar_synthetic_010-056-050,56
guitar_electronic_016-081-025,81
guitar_electronic_045-053-075,53
guitar_electronic_026-071-050,71
guitar_electronic_006-062-025,62
guitar_acoustic_026-082-100,82
guitar_acoustic_012-073-050,73
guitar_acoustic_003-059-050,59
guitar_electronic_000-060-127,60
guitar_electronic_017-067-127,67
guitar_synthetic_010-049-050,49
guitar_electronic_037-064-075,64
guitar_electronic_014-068-127,68
guitar_acoustic_007-083-075,83
guitar_electronic_011-075-127,75
guitar_acoustic_028-077-050,77
guitar_acoustic_002-043-025,43
guitar_electronic_008-063-100,63
guitar_electronic_045-084-127,84
guitar_synthetic_005-053-075,53
guitar_acoustic_024-067-127,67
guitar_electronic_006-064-100,64
guitar_acoustic_033-049-025,49
guitar_electronic_033-044-100,44
guitar_acoustic_024-040-100,40
guitar_electronic_007-070-127,70
guitar_electronic_039-050-050,50
guitar_synthetic_001-062-127,62
guitar_electronic_006-077-075,77
guitar_electronic_018-069-025,69
guitar_electronic_017-057-075,57
guitar_acoustic_000-078-100,78
guitar_electronic_001-084-100,84
guitar_acoustic_025-053-100,53
guitar_electronic_001-055-075,55
guitar_electronic_016-066-050,66
guitar_acoustic_005-051-050,51
guitar_acoustic_005-062-025,62
guitar_electronic_036-065-127,65
guitar_electronic_019-050-100,50
guitar_synthetic_004-066-127,66
guitar_synthetic_010-062-100,62
guitar_synthetic_007-068-050,68
guitar_electronic_029-065-050,65
guitar_electronic_033-041-075,41
