note_str,pitch
keyboard_electronic_089-044-100,44
keyboard_acoustic_010-084-127,84
keyboard_acoustic_011-053-127,53
keyboard_electronic_100-040-025,40
keyboard_electronic_065-069-025,69
keyboard_electronic_097-047-075,47
keyboard_electronic_109-069-025,69
keyboard_electronic_091-088-127,88
keyboard_electronic_101-069-050,69
keyboard_electronic_100-033-075,33
keyboard_acoustic_007-034-100,34
keyboard_electronic_020-038-075,38
keyboard_electronic_080-057-075,57
keyboard_electronic_045-098-050,98
keyboard_electronic_019-066-100,66
keyboard_electronic_058-074-025,74
keyboard_electronic_035-057-025,57
keyboard_electronic_007-084-100,84
keyboard_electronic_102-100-127,100
keyboard_electronic_039-035-025,35
keyboard_electronic_070-079-127,79
keyboard_electronic_047-064-100,64
keyboard_electronic_070-084-127,84
keyboard_electronic_080-072-025,72
keyboard_electronic_099-068-100,68
keyboard_electronic_096-027-025,27
keyboard_synthetic_003-021-050,21
keyboard_electronic_083-107-025,107
keyboard_electronic_029-026-075,26
keyboard_electronic_020-039-025,39
keyboard_electronic_016-060-127,60
keyboard_electronic_060-037-100,37
keyboard_electronic_109-022-025,22
keyboard_electronic_053-042-025,42
keyboard_electronic_061-077-100,77
keyboard_electronic_042-058-075,58
keyboard_electronic_032-056-127,56
keyboard_electronic_081-060-127,60
keyboard_electronic_018-038-025,38
keyboard_electronic_039-040-025,40
keyboard_electronic_023-049-127,49
keyboard_acoustic_002-093-100,93
keyboard_electronic_079-069-025,69
keyboard_electronic_027-043-025,43
keyboard_electronic_008-081-127,81
keyboard_electronic_030-048-025,48
keyboard_acoustic_000-030-025,30
keyboard_electronic_014-034-075,34
keyboard_electronic_061-035-025,35
keyboard_electronic_108-071-127,71
keyboard_electronic_043-052-025,52
keyboard_electronic_038-039-025,39
keyboard_electronic_038-051-127,51
keyboard_electronic_075-088-075,88
keyboard_electronic_106-069-127,69
keyboard_acoustic_017-069-075,69
keyboard_electronic_040-022-075,22
keyboard_electronic_048-061-075,61
keyboard_electronic_022-021-075,21
keyboard_electronic_029-093-100,93
keyboard_electronic_049-059-127,59
